,pos
0,-1.96774193548_9.42207792208
1,-1.85483870968_9.60064935065
2,-1.85483870968_9.74675324675
3,-1.74193548387_9.88474025974
4,-1.6935483871_9.99837662338
5,-1.59677419355_10.1282467532
6,-1.56451612903_10.25
7,-1.1935483871_10.2743506494
8,-1.09677419355_10.1688311688
9,-1.08064516129_10.1038961039
10,-0.983870967742_9.96590909091
11,-0.983870967742_9.83603896104
12,-0.903225806452_9.65746753247
13,-0.870967741935_9.54383116883
14,-1.06451612903_9.49512987013
15,-1.3064516129_9.46266233766
16,-1.53225806452_9.45454545455
17,-1.74193548387_9.43831168831
18,-1.90322580645_9.39772727273
